States,Country, Date, Frequency, Estimated Unemployment Rate, Estimated Employed, Estimated Labour Participation Rate ,Region,longitude,latitude
Andhra Pradesh,India, 31-05-2017, M,2.3,17992099,44.91,North,15.9129,79.74
Andhra Pradesh,India, 30-06-2017, M,3.65,17724207,44.8,North,15.9129,79.74
Andhra Pradesh,India, 31-07-2017, M,2.66,17953658,44.85,North,15.9129,79.74
Andhra Pradesh,India, 31-08-2017, M,3.43,17774825,44.7,North,15.9129,79.74
Andhra Pradesh,India, 30-09-2017, M,6.59,18595636,48.28,North,15.9129,79.74
Andhra Pradesh,India, 31-10-2017, M,3.51,17233209,43.25,North,15.9129,79.74
Andhra Pradesh,India, 30-11-2017, M,3.32,18182263,45.48,North,15.9129,79.74
Andhra Pradesh,India, 31-12-2017, M,4.01,18593687,46.77,North,15.9129,79.74
Andhra Pradesh,India, 31-01-2018, M,5.79,17947085,45.93,North,15.9129,79.74
Andhra Pradesh,India, 28-02-2018, M,3.97,17568645,44.06,North,15.9129,79.74
Andhra Pradesh,India, 31-03-2018, M,4.22,17247729,43.3,North,15.9129,79.74
Andhra Pradesh,India, 30-04-2018, M,3.65,17084469,42.58,North,15.9129,79.74
Andhra Pradesh,India, 31-05-2018, M,4.01,17078661,42.66,North,15.9129,79.74
Andhra Pradesh,India, 30-06-2018, M,4.51,16524370,41.44,North,15.9129,79.74
Andhra Pradesh,India, 31-07-2018, M,5.25,17438268,44.01,North,15.9129,79.74
Andhra Pradesh,India, 31-08-2018, M,4.33,17247277,43.05,North,15.9129,79.74
Andhra Pradesh,India, 30-09-2018, M,4.88,17200185,43.11,North,15.9129,79.74
Andhra Pradesh,India, 31-10-2018, M,5.56,15617337,39.37,North,15.9129,79.74
Andhra Pradesh,India, 30-11-2018, M,5.24,16856909,42.29,North,15.9129,79.74
Andhra Pradesh,India, 31-12-2018, M,4.2,17094902,42.37,North,15.9129,79.74
Andhra Pradesh,India, 31-01-2019, M,5.21,17525876,43.83,North,15.9129,79.74
Andhra Pradesh,India, 28-02-2019, M,5.76,15705618,39.46,North,15.9129,79.74
Andhra Pradesh,India, 31-03-2019, M,5.17,16300531,40.64,North,15.9129,79.74
Andhra Pradesh,India, 30-04-2019, M,4.02,17501776,43.05,North,15.9129,79.74
Andhra Pradesh,India, 31-05-2019, M,4.36,16787801,41.38,North,15.9129,79.74
Andhra Pradesh,India, 30-06-2019, M,3.27,16580510,40.35,North,15.9129,79.74
Andhra Pradesh,India, 31-07-2019, M,4.29,16744148,41.12,North,15.9129,79.74
Andhra Pradesh,India, 31-08-2019, M,3.68,17028869,41.5,North,15.9129,79.74
Andhra Pradesh,India, 30-09-2019, M,5.41,16990761,42.11,North,15.9129,79.74
Andhra Pradesh,India, 31-10-2019, M,3.86,16791781,40.88,North,15.9129,79.74
Andhra Pradesh,India, 30-11-2019, M,5.14,16066455,39.59,North,15.9129,79.74
Andhra Pradesh,India, 31-12-2019, M,5.39,17442360,43.03,North,15.9129,79.74
Andhra Pradesh,India, 31-01-2020, M,5.48,16635535,41.02,North,15.9129,79.74
Andhra Pradesh,India, 29-02-2020, M,5.83,16545652,40.9,North,15.9129,79.74
Andhra Pradesh,India, 31-03-2020, M,5.79,15881197,39.18,North,15.9129,79.74
Andhra Pradesh,India, 30-04-2020, M,20.51,11336911,33.1,North,15.9129,79.74
Andhra Pradesh,India, 31-05-2020, M,17.43,12988845,36.46,North,15.9129,79.74
Andhra Pradesh,India, 30-06-2020, M,3.31,19805400,47.41,North,15.9129,79.74
Andhra Pradesh,India, 31-07-2020, M,8.34,15431615,38.91,North,15.9129,79.74
Andhra Pradesh,India, 31-08-2020, M,6.96,15251776,37.83,North,15.9129,79.74
Andhra Pradesh,India, 30-09-2020, M,6.4,15220312,37.47,North,15.9129,79.74
Andhra Pradesh,India, 31-10-2020, M,6.64,15140379,37.32,North,15.9129,79.74
Andhra Pradesh,India, 30-11-2020, M,6.02,15478231,37.84,North,15.9129,79.74
Andhra Pradesh,India, 31-12-2020, M,6.71,15854431,39,North,15.9129,79.74
Andhra Pradesh,India, 31-01-2021, M,4.48,16516412,39.62,North,15.9129,79.74
Andhra Pradesh,India, 28-02-2021, M,3.74,16736552,39.78,North,15.9129,79.74
Andhra Pradesh,India, 31-03-2021, M,5.88,15752408,38.24,North,15.9129,79.74
Andhra Pradesh,India, 30-04-2021, M,4.91,15834266,37.99,North,15.9129,79.74
Andhra Pradesh,India, 31-05-2021, M,12.83,15092065,39.44,North,15.9129,79.74
Andhra Pradesh,India, 30-06-2021, M,7.43,15559239,38.24,North,15.9129,79.74
Andhra Pradesh,India, 31-07-2021, M,8.68,15485255,38.52,North,15.9129,79.74
Andhra Pradesh,India, 31-08-2021, M,6.49,16159788,39.2,North,15.9129,79.74
Andhra Pradesh,India, 30-09-2021, M,6.07,16977784,40.94,North,15.9129,79.74
Andhra Pradesh,India, 31-10-2021, M,5.37,15875697,37.95,North,15.9129,79.74
Andhra Pradesh,India, 30-11-2021, M,6.33,15849249,38.22,North,15.9129,79.74
Andhra Pradesh,India, 31-12-2021, M,5.62,16915954,40.43,North,15.9129,79.74
Andhra Pradesh,India, 31-01-2022, M,6.17,15675627,37.63,North,15.9129,79.74
Andhra Pradesh,India, 28-02-2022, M,7.1,15515845,37.57,North,15.9129,79.74
Andhra Pradesh,India, 31-03-2022, M,9.16,15285329,37.79,North,15.9129,79.74
Andhra Pradesh,India, 30-04-2022, M,5.3,16598072,39.31,North,15.9129,79.74
Assam,India, 31-05-2017, M,12.79,11040428,52.21,North East,26.2006,92.9376
Assam,India, 30-06-2017, M,10.88,10161665,46.93,North East,26.2006,92.9376
Assam,India, 31-07-2017, M,8.61,10097422,45.39,North East,26.2006,92.9376
Assam,India, 31-08-2017, M,4.8,10599812,45.65,North East,26.2006,92.9376
Assam,India, 30-09-2017, M,8.69,11506550,51.56,North East,26.2006,92.9376
Assam,India, 31-10-2017, M,10,10405814,47.21,North East,26.2006,92.9376
Assam,India, 30-11-2017, M,10.3,10249424,46.57,North East,26.2006,92.9376
Assam,India, 31-12-2017, M,7.03,10024090,43.85,North East,26.2006,92.9376
Assam,India, 31-01-2018, M,7.42,11046486,48.43,North East,26.2006,92.9376
Assam,India, 28-02-2018, M,9.76,10041204,45.08,North East,26.2006,92.9376
Assam,India, 31-03-2018, M,5.85,10509903,45.14,North East,26.2006,92.9376
Assam,India, 30-04-2018, M,3.58,11071967,46.34,North East,26.2006,92.9376
Assam,India, 31-05-2018, M,6.29,12034894,51.72,North East,26.2006,92.9376
Assam,India, 30-06-2018, M,8.57,10215989,44.91,North East,26.2006,92.9376
Assam,India, 31-07-2018, M,7.85,10502434,45.72,North East,26.2006,92.9376
Assam,India, 31-08-2018, M,3.9,11098521,46.23,North East,26.2006,92.9376
Assam,India, 30-09-2018, M,11.19,11507942,51.77,North East,26.2006,92.9376
Assam,India, 31-10-2018, M,5.33,10063961,42.39,North East,26.2006,92.9376
Assam,India, 30-11-2018, M,8.18,10898176,47.23,North East,26.2006,92.9376
Assam,India, 31-12-2018, M,6.11,11162155,47.22,North East,26.2006,92.9376
Assam,India, 31-01-2019, M,5.11,12518130,52.28,North East,26.2006,92.9376
Assam,India, 28-02-2019, M,5.36,10314086,43.12,North East,26.2006,92.9376
Assam,India, 31-03-2019, M,6.78,11068934,46.88,North East,26.2006,92.9376
Assam,India, 30-04-2019, M,5,11349197,47.07,North East,26.2006,92.9376
Assam,India, 31-05-2019, M,4.75,13421041,55.41,North East,26.2006,92.9376
Assam,India, 30-06-2019, M,5.87,10570564,44.07,North East,26.2006,92.9376
Assam,India, 31-07-2019, M,4.1,11651371,47.59,North East,26.2006,92.9376
Assam,India, 31-08-2019, M,6.49,10887620,45.51,North East,26.2006,92.9376
Assam,India, 30-09-2019, M,5.07,13044829,53.61,North East,26.2006,92.9376
Assam,India, 31-10-2019, M,5.76,9991084,41.27,North East,26.2006,92.9376
Assam,India, 30-11-2019, M,4.91,11333409,46.31,North East,26.2006,92.9376
Assam,India, 31-12-2019, M,0.88,10209749,39.95,North East,26.2006,92.9376
Assam,India, 31-01-2020, M,4.66,13051904,52.98,North East,26.2006,92.9376
Assam,India, 29-02-2020, M,4.41,10088268,40.77,North East,26.2006,92.9376
Assam,India, 31-03-2020, M,4.77,11542888,46.73,North East,26.2006,92.9376
Assam,India, 30-04-2020, M,11.06,6830817,29.55,North East,26.2006,92.9376
Assam,India, 31-05-2020, M,9.55,11367897,48.26,North East,26.2006,92.9376
Assam,India, 30-06-2020, M,0.6,9095944,35.07,North East,26.2006,92.9376
Assam,India, 31-07-2020, M,3.77,10286757,40.88,North East,26.2006,92.9376
Assam,India, 31-08-2020, M,5.53,9781310,39.52,North East,26.2006,92.9376
Assam,India, 30-09-2020, M,1.19,14107641,54.38,North East,26.2006,92.9376
